Bevoelkerung nach Geburtslaendern, Staatsangehoerigkeit und Migrationshintergrund, 2012-2022 | population by place of birth, citizenship and migrational background by LAU2, 2012-2022;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;LAU2_CODE;LAU2_NAME;POP_TOTAL;BORN_AUT;BORN_FOR;NATIONALITY_AUT;NATIONALITY_FOR;MIG_BACKGROUND;YEAR
AT1;AT12;AT124;31107;Geras;1372;1310;62;1338;34;66;2012
AT1;AT12;AT124;31109;Horn;6537;6020;517;6209;328;575;2012
AT1;AT12;AT124;31110;Irnfritz-Messern;1430;1380;50;1404;26;51;2012
AT1;AT12;AT124;31111;Japons;739;722;17;726;13;20;2012
AT1;AT12;AT124;31113;Langau;689;642;47;666;23;47;2012
AT1;AT12;AT124;31114;Meiseldorf;942;925;17;932;10;19;2012
AT1;AT12;AT124;31117;Pernegg;688;676;12;684;4;12;2012
AT1;AT12;AT124;31119;Röhrenbach;570;553;17;560;10;17;2012
AT1;AT12;AT124;31120;Röschitz;1029;994;35;1000;29;36;2012
AT1;AT12;AT124;31121;Rosenburg-Mold;850;796;54;798;52;64;2012
AT1;AT12;AT124;31123;St. Bernhard-Frauenhofen;1269;1238;31;1246;23;33;2012
AT1;AT12;AT124;31124;Sigmundsherberg;1667;1627;40;1647;20;42;2012
AT1;AT12;AT124;31129;Weitersfeld;1616;1544;72;1569;47;74;2012
AT1;AT12;AT124;31130;Straning-Grafenberg;759;735;24;743;16;24;2012
AT1;AT12;AT126;31201;Bisamberg;4466;3991;475;4171;295;526;2012
AT1;AT12;AT126;31202;Enzersfeld im Weinviertel;1622;1524;98;1561;61;103;2012
AT1;AT12;AT126;31203;Ernstbrunn;3080;2857;223;2922;158;251;2012
AT1;AT12;AT126;31204;Großmugl;1585;1489;96;1529;56;102;2012
AT1;AT12;AT126;31205;Großrußbach;2131;1973;158;2018;113;177;2012
AT1;AT12;AT126;31206;Hagenbrunn;1993;1706;287;1785;208;312;2012
AT1;AT12;AT126;31207;Harmannsdorf;3903;3636;267;3751;152;283;2012
AT1;AT12;AT126;31208;Hausleiten;3645;3393;252;3452;193;287;2012
AT1;AT12;AT126;31213;Korneuburg;12227;10316;1911;10796;1431;2155;2012
AT1;AT12;AT126;31214;Langenzersdorf;7980;7082;898;7425;555;972;2012
AT1;AT12;AT126;31215;Leitzersdorf;1268;1154;114;1184;84;127;2012
AT1;AT12;AT126;31216;Leobendorf;4775;4371;404;4496;279;448;2012
AT1;AT12;AT126;31224;Rußbach;1398;1342;56;1356;42;64;2012
AT1;AT12;AT126;31226;Sierndorf;3630;3430;200;3526;104;213;2012
AT1;AT12;AT126;31227;Spillern;2142;1882;260;1965;177;297;2012
AT1;AT12;AT126;31228;Stetteldorf am Wagram;1025;975;50;990;35;58;2012
AT1;AT12;AT126;31229;Stetten;1250;1177;73;1210;40;78;2012
AT1;AT12;AT126;31230;Stockerau;15635;13519;2116;14069;1566;2382;2012
AT1;AT12;AT126;31234;Niederhollabrunn;1587;1512;75;1530;57;86;2012
AT1;AT12;AT124;31301;Aggsbach;684;647;37;656;28;40;2012
AT1;AT12;AT124;31302;Albrechtsberg an der Großen Krems;1060;1039;21;1046;14;22;2012
AT1;AT12;AT124;31303;Bergern im Dunkelsteinerwald;1254;1207;47;1225;29;54;2012
AT1;AT12;AT124;31304;Dürnstein;867;823;44;839;28;47;2012
AT1;AT12;AT124;31308;Grafenegg;2980;2810;170;2843;137;212;2012
AT1;AT12;AT124;31309;Furth bei Göttweig;2909;2701;208;2753;156;235;2012
AT1;AT12;AT124;31310;Gedersdorf;2176;1987;189;2048;128;211;2012
AT1;AT12;AT124;31311;Gföhl;3686;3575;111;3612;74;121;2012
AT1;AT12;AT124;31315;Hadersdorf-Kammern;1990;1820;170;1856;134;184;2012
AT1;AT12;AT124;31319;Jaidhof;1174;1148;26;1151;23;29;2012
AT1;AT12;AT124;31321;Krumau am Kamp;780;736;44;755;25;46;2012
AT1;AT12;AT124;31322;Langenlois;7422;6981;441;7102;320;492;2012
AT1;AT12;AT124;31323;Lengenfeld;1427;1374;53;1392;35;56;2012
